n_sub,rep_i,rep_j,n_shared,ari_k24
60,5,42,37,0.8190709046454768
60,5,43,36,0.7926267281105991
60,5,44,36,0.8540239946449719
60,5,45,36,0.776
60,5,46,39,0.7065191561270562
60,5,47,36,0.7333069932832872
60,5,48,36,0.6272991287512101
60,5,49,42,0.5889835075994395
60,6,7,38,0.8884126984126984
60,6,8,35,0.5557859809207798
60,6,9,42,0.6670830730793255
60,6,10,38,0.6194816723320414
60,6,11,37,0.5409836065573771
60,6,12,35,0.8231797919762258
60,6,13,35,0.7336891031158547
60,6,14,39,0.6877077967689066
60,6,15,36,0.7193406733278177
60,6,16,41,0.659468438538206
60,6,17,39,0.8293151105651105
60,6,18,39,0.8738254825776691
60,6,19,37,0.6398053001622499
60,6,20,39,0.9315068493150684
60,6,21,36,0.5668614644207631
60,6,22,39,0.5385094457130994
60,6,23,38,0.9057317818138475
60,6,24,38,0.7396847228099873
60,6,25,42,0.9284800558204442
60,6,26,36,0.7397326852976914
60,6,27,38,0.7409783480352847
60,6,28,36,0.5501036627505184
60,6,29,38,0.7638788925675352
60,6,30,39,0.6599221789883268
60,6,31,39,0.8372761573935438
60,6,32,37,0.8271435986975603
60,6,33,33,0.6214574898785425
60,6,34,40,0.7972648752399232
60,6,35,39,0.6296851574212894
60,6,36,43,0.8912157413914266
60,6,37,39,0.7004244996967859
60,6,38,40,0.7152245345016429
60,6,39,38,0.7396434051108407
60,6,40,38,0.7217043941411452
60,6,41,37,0.6260527793374508
60,6,42,39,0.6275134048257373
60,6,43,41,0.823828125
60,6,44,39,0.8218375259219187
60,6,45,33,0.7590226091841034
60,6,46,36,0.722733456029447
60,6,47,37,0.8717045517089548
60,6,48,38,0.7414585708506491
60,6,49,42,0.8106051783704049
60,7,8,38,0.8793040956868431
60,7,9,38,0.6799765884112636
60,7,10,40,0.742777997625643
60,7,11,39,0.6304681733857294
60,7,12,37,0.601742696053306
60,7,13,38,0.7257007906355889
60,7,14,38,0.7950693374422187
60,7,15,38,0.7258119035856366
60,7,16,37,0.6651162790697674
60,7,17,37,0.8825448613376835
60,7,18,35,0.6782479383533865
60,7,19,34,0.7597588694535033
60,7,20,38,0.8052708638360175
60,7,21,41,0.6513605442176871
60,7,22,39,0.7671232876712328
60,7,23,37,0.761254292290857
60,7,24,35,0.8060625814863103
60,7,25,39,0.8703260806159948
60,7,26,41,0.7480630510285867
60,7,27,38,0.7325229789534814
60,7,28,40,0.6308396946564886
60,7,29,38,0.7301473057914687
60,7,30,40,0.7941137653424838
60,7,31,36,0.8830796966965374
60,7,32,40,0.7987875661034438
60,7,33,36,0.5910245554614734
60,7,34,33,0.8074242178635112
60,7,35,38,0.8409562233701595
60,7,36,39,0.9085846213496414
60,7,37,34,0.6048161966135303
60,7,38,35,0.891264619883041
60,7,39,40,0.7349484288798273
60,7,40,35,0.6252204585537919
60,7,41,41,0.7625212947189097
60,7,42,37,0.7559310265015623
60,7,43,42,0.8661536667832576
60,7,44,39,0.8025513772774207
60,7,45,37,0.8586641972450515
60,7,46,38,0.9086039678618789
60,7,47,36,0.9022649705243562
60,7,48,36,0.7875354107648725
60,7,49,41,0.7842773135252243
60,8,9,37,0.770254287403903
60,8,10,36,0.7291986490635555
60,8,11,38,0.8690448470171843
60,8,12,36,0.6232339089481946
60,8,13,38,0.7432536622976099
60,8,14,37,0.6884253398646045
60,8,15,35,0.7828106852497096
60,8,16,37,0.6830540037243947
60,8,17,37,0.7557115908614547
60,8,18,40,0.6680020030045067
60,8,19,40,0.8320413436692506
60,8,20,38,0.750762249166844
60,8,21,37,0.4495193779464887
60,8,22,41,0.7905027932960894
60,8,23,37,0.8647291258909118
60,8,24,39,0.9048576931307512
60,8,25,36,0.7688660608455156
60,8,26,42,0.8244522001942935
60,8,27,35,0.5578598932648787
60,8,28,42,0.6653080937179744
60,8,29,43,0.6900876727715204
60,8,30,36,0.8548812664907651
60,8,31,35,0.7810944053371269
60,8,32,39,0.8851340877383351
60,8,33,39,0.5895915813657716
60,8,34,40,0.6089735555834065
60,8,35,38,0.8338285945836429
60,8,36,35,0.8298833485818847
60,8,37,37,0.8624409051269105
60,8,38,41,0.7232534593317583
60,8,39,41,0.6527029108270445
60,8,40,41,0.8969479353680431
60,8,41,37,0.7836842959995669
60,8,42,44,0.9002600688831096
60,8,43,39,0.5725756212362428
60,8,44,38,0.7939262472885033
60,8,45,41,0.901389631213255
60,8,46,38,0.8407941420699027
60,8,47,37,0.8728414442700158
60,8,48,37,0.6162187647336163
60,8,49,40,0.7556931240327216
60,9,10,36,0.6949152542372882
60,9,11,41,0.7547553535111855
60,9,12,35,0.6661757486499754
60,9,13,38,0.7175839497128813
60,9,14,36,0.625914119632477
60,9,15,36,0.655280231376534
60,9,16,37,0.7341954022988506
60,9,17,35,0.6869874671205323
60,9,18,35,0.8395967002749771
60,9,19,40,0.7008743672342383
