n_sub,rep,k,silhouette,is_best_k
40,38,28,0.07457343825046088,False
40,39,2,0.14809817795991478,False
40,39,3,0.15463425421107574,False
40,39,5,0.15574884360839195,False
40,39,8,0.16198249012047256,False
40,39,10,0.15181556889596254,False
40,39,15,0.17834410127870842,True
40,39,20,0.16352458014580984,False
40,39,24,0.171760600833713,False
40,39,28,0.16614362067042215,False
40,40,2,0.10162270463913532,False
40,40,3,0.12623214363086502,False
40,40,5,0.12072926484991595,False
40,40,8,0.13640132701460486,False
40,40,10,0.1468651163327925,False
40,40,15,0.20342874564203361,True
40,40,20,0.19288413523470904,False
40,40,24,0.18016731081912266,False
40,40,28,0.15401650580358028,False
40,41,2,0.11674685712099815,False
40,41,3,0.12017384312179732,False
40,41,5,0.15732402481364943,False
40,41,8,0.13564838680940347,False
40,41,10,0.17498689830401,False
40,41,15,0.1988002089189092,True
40,41,20,0.17367016044039518,False
40,41,24,0.19570087403719866,False
40,41,28,0.19494511048130703,False
40,42,2,0.10761505354649543,False
40,42,3,0.11864871870021176,False
40,42,5,0.13599362041699062,False
40,42,8,0.13041994690332426,False
40,42,10,0.13964989871670513,False
40,42,15,0.1543145321224672,False
40,42,20,0.19268324664555955,False
40,42,24,0.21816972005333274,True
40,42,28,0.18537820440116032,False
40,43,2,0.16147461169245014,False
40,43,3,0.13164500823712832,False
40,43,5,0.13833746375865252,False
40,43,8,0.14765834210894535,False
40,43,10,0.152095234980261,False
40,43,15,0.17278434384342223,False
40,43,20,0.18475027940584438,True
40,43,24,0.16970853006006634,False
40,43,28,0.14326332259451902,False
40,44,2,0.06185729665609443,False
40,44,3,0.06145483790183396,False
40,44,5,0.07134680433403255,False
40,44,8,0.09011334464630373,False
40,44,10,0.08892055315313144,False
40,44,15,0.1038553244861768,True
40,44,20,0.09555940321592551,False
40,44,24,0.09962880826502732,False
40,44,28,0.09903413352334936,False
40,45,2,0.09150265195153663,True
40,45,3,0.08280599979850178,False
40,45,5,0.0831811931350471,False
40,45,8,0.08435526469007439,False
40,45,10,0.0888872468093363,False
40,45,15,0.08587757268081213,False
40,45,20,0.08398409878923918,False
40,45,24,0.07754176859201387,False
40,45,28,0.06960345930256162,False
40,46,2,0.1471309386597155,False
40,46,3,0.13546144194500445,False
40,46,5,0.15212587151570328,False
40,46,8,0.16934515297819808,False
40,46,10,0.1867338367071373,False
40,46,15,0.18380919906291876,False
40,46,20,0.197052765319822,True
40,46,24,0.17607779460263895,False
40,46,28,0.1413999889236594,False
40,47,2,0.141023418681766,False
40,47,3,0.1412338130878997,False
40,47,5,0.1502334657662659,False
40,47,8,0.1369487120533292,False
40,47,10,0.13395536876293893,False
40,47,15,0.17051662001681456,False
40,47,20,0.18328792597521304,False
40,47,24,0.2217166052171521,True
40,47,28,0.18660426399773666,False
40,48,2,0.14670097848397873,False
40,48,3,0.14618501330101785,False
40,48,5,0.16326373155168997,False
40,48,8,0.17164983747114818,False
40,48,10,0.20782267146146954,True
40,48,15,0.20202151760391582,False
40,48,20,0.1900286812971869,False
40,48,24,0.19974047757931984,False
40,48,28,0.18181400904995032,False
40,49,2,0.13124128395055965,False
40,49,3,0.16099398762262748,False
40,49,5,0.14268464889853122,False
40,49,8,0.19569344598845168,False
40,49,10,0.22656382825585802,False
40,49,15,0.2598009965752147,False
40,49,20,0.26348406851515316,True
40,49,24,0.24967417168653538,False
40,49,28,0.23525341337463518,False
60,0,2,0.059268746478662634,False
60,0,3,0.053816605528875364,False
60,0,5,0.0520173186762043,False
60,0,8,0.054668127398029794,False
60,0,10,0.062458223000402505,False
60,0,15,0.06925178307011759,False
60,0,20,0.08160281582699185,True
60,0,24,0.07996769996900881,False
60,0,28,0.07601684412744464,False
60,1,2,0.0870833947800699,False
60,1,3,0.10515485371221907,False
60,1,5,0.09954077421387028,False
60,1,8,0.10033837484826187,False
60,1,10,0.11403873242633851,False
60,1,15,0.12798428439689574,False
60,1,20,0.14350726051395574,False
60,1,24,0.1572260195707757,False
60,1,28,0.16300596218527383,True
60,2,2,0.08683753794044075,False
60,2,3,0.08562926681687703,False
60,2,5,0.10409987412610232,False
60,2,8,0.11442009504507643,False
60,2,10,0.1268130159321073,False
60,2,15,0.1491254605913569,False
