trait,model,boot_i,boot_j,spearman_full,jaccard_top_k
Insoluble_Oxalate,RandomForest,5,22,0.28152365664619133,0.0
Insoluble_Oxalate,RandomForest,5,23,0.18962541161599564,0.0
Insoluble_Oxalate,RandomForest,5,24,0.3767829114516988,0.0
Insoluble_Oxalate,RandomForest,5,25,0.2629832473163685,0.0
Insoluble_Oxalate,RandomForest,5,26,0.28373076853163376,0.0
Insoluble_Oxalate,RandomForest,5,27,0.21932564750429617,0.0
Insoluble_Oxalate,RandomForest,5,28,0.3232250698785881,0.0
Insoluble_Oxalate,RandomForest,5,29,0.23405142840363605,0.0
Insoluble_Oxalate,RandomForest,6,7,0.327031579948236,0.0
Insoluble_Oxalate,RandomForest,6,8,0.3968906146659041,0.0
Insoluble_Oxalate,RandomForest,6,9,0.20586390349693567,0.0
Insoluble_Oxalate,RandomForest,6,10,0.248917374774354,0.1111111111111111
Insoluble_Oxalate,RandomForest,6,11,0.2588347145919356,0.0
Insoluble_Oxalate,RandomForest,6,12,0.3907320507460474,0.0
Insoluble_Oxalate,RandomForest,6,13,0.3937266548186512,0.1111111111111111
Insoluble_Oxalate,RandomForest,6,14,0.28088855081805836,0.0
Insoluble_Oxalate,RandomForest,6,15,0.3119819734915803,0.25
Insoluble_Oxalate,RandomForest,6,16,0.2970852595680182,0.0
Insoluble_Oxalate,RandomForest,6,17,0.3432243931154734,0.0
Insoluble_Oxalate,RandomForest,6,18,0.37711641863671386,0.0
Insoluble_Oxalate,RandomForest,6,19,0.2625794742221768,0.0
Insoluble_Oxalate,RandomForest,6,20,0.3891096090574395,0.0
Insoluble_Oxalate,RandomForest,6,21,0.3531642478910579,0.0
Insoluble_Oxalate,RandomForest,6,22,0.3478621500652293,0.25
Insoluble_Oxalate,RandomForest,6,23,0.2920134597556661,0.0
Insoluble_Oxalate,RandomForest,6,24,0.3401205225618001,0.1111111111111111
Insoluble_Oxalate,RandomForest,6,25,0.3356968660554358,0.1111111111111111
Insoluble_Oxalate,RandomForest,6,26,0.35094658185687577,0.0
Insoluble_Oxalate,RandomForest,6,27,0.24104176215691675,0.0
Insoluble_Oxalate,RandomForest,6,28,0.413274138000948,0.0
Insoluble_Oxalate,RandomForest,6,29,0.2863940942630343,0.1111111111111111
Insoluble_Oxalate,RandomForest,7,8,0.268150042857003,0.0
Insoluble_Oxalate,RandomForest,7,9,0.15472378137195544,0.0
Insoluble_Oxalate,RandomForest,7,10,0.2447189741166074,0.0
Insoluble_Oxalate,RandomForest,7,11,0.1885703714786295,0.0
Insoluble_Oxalate,RandomForest,7,12,0.27443010812828855,0.0
Insoluble_Oxalate,RandomForest,7,13,0.38748335568236314,0.0
Insoluble_Oxalate,RandomForest,7,14,0.19474538186079093,0.0
Insoluble_Oxalate,RandomForest,7,15,0.31236959376035595,0.0
Insoluble_Oxalate,RandomForest,7,16,0.2666845710594279,0.0
Insoluble_Oxalate,RandomForest,7,17,0.2840548961154636,0.25
Insoluble_Oxalate,RandomForest,7,18,0.34389636855065026,0.0
Insoluble_Oxalate,RandomForest,7,19,0.2124017372117639,0.0
Insoluble_Oxalate,RandomForest,7,20,0.27610088244876385,0.0
Insoluble_Oxalate,RandomForest,7,21,0.27342824982626485,0.0
Insoluble_Oxalate,RandomForest,7,22,0.3230913028948402,0.0
Insoluble_Oxalate,RandomForest,7,23,0.3095032279083685,0.0
Insoluble_Oxalate,RandomForest,7,24,0.27111646338138257,0.0
Insoluble_Oxalate,RandomForest,7,25,0.2701893510484934,0.0
Insoluble_Oxalate,RandomForest,7,26,0.23069410726695366,0.0
Insoluble_Oxalate,RandomForest,7,27,0.20057077697718997,0.0
Insoluble_Oxalate,RandomForest,7,28,0.3196105116413044,0.0
Insoluble_Oxalate,RandomForest,7,29,0.25210822337097943,0.0
Insoluble_Oxalate,RandomForest,8,9,0.25559251589484444,0.1111111111111111
Insoluble_Oxalate,RandomForest,8,10,0.31520558357535067,0.0
Insoluble_Oxalate,RandomForest,8,11,0.21178461035084012,0.0
Insoluble_Oxalate,RandomForest,8,12,0.3227437207149639,0.0
Insoluble_Oxalate,RandomForest,8,13,0.3025828971893357,0.0
Insoluble_Oxalate,RandomForest,8,14,0.2635173448513568,0.1111111111111111
