trait,model,rep,fold,thr_train_fold,n_pos_train,n_pos_test,n_test,auc,pr_auc,mcc,topk,p_pos_class
Antioxidant,RandomForest,4,4,336.55687453692025,13,3,15,0.16666666666666666,0.15925925925925927,0.0,0.0,3.0
Antioxidant,MLP,4,4,336.55687453692025,13,3,15,0.3611111111111111,0.20476190476190476,-0.19611613513818402,0.2,3.0
Antioxidant,XGBoost,4,4,336.55687453692025,13,3,15,0.19444444444444442,0.1638888888888889,-0.19611613513818402,0.0,3.0
Antioxidant,LightGBM,4,4,336.55687453692025,13,3,15,0.3055555555555555,0.28095238095238095,0.294174202707276,0.2,3.0
Seed_Length,LogReg,0,0,8.870526689015415,13,5,17,0.8166666666666668,0.6587301587301588,0.3337119062359573,0.4,5.0
Seed_Length,RandomForest,0,0,8.870526689015415,13,5,17,0.7166666666666667,0.49120879120879124,0.0,0.4,5.0
Seed_Length,MLP,0,0,8.870526689015415,13,5,17,0.65,0.5657142857142857,0.1649915822768611,0.4,5.0
Seed_Length,XGBoost,0,0,8.870526689015415,13,5,17,0.7833333333333332,0.5342857142857143,0.0,0.6,5.0
Seed_Length,LightGBM,0,0,8.870526689015415,13,5,17,0.5833333333333333,0.4291666666666667,0.03984095364447979,0.4,5.0
Seed_Length,LogReg,0,1,8.90384522515764,13,3,16,0.5641025641025641,0.28327228327228327,0.021591675854376522,0.2,3.0
Seed_Length,RandomForest,0,1,8.90384522515764,13,3,16,0.5641025641025641,0.27136752136752135,0.0,0.2,3.0
Seed_Length,MLP,0,1,8.90384522515764,13,3,16,0.6666666666666667,0.31746031746031744,-0.18156825980064073,0.2,3.0
Seed_Length,XGBoost,0,1,8.90384522515764,13,3,16,0.5128205128205128,0.2611111111111111,-0.12403473458920847,0.2,3.0
Seed_Length,LightGBM,0,1,8.90384522515764,13,3,16,0.3846153846153846,0.2,-0.2773500981126145,0.2,3.0
Seed_Length,LogReg,0,2,8.90384522515764,13,3,16,0.641025641025641,0.30634920634920637,0.1794871794871795,0.2,3.0
Seed_Length,RandomForest,0,2,8.90384522515764,13,3,16,0.8461538461538461,0.6805555555555556,0.0,0.4,3.0
Seed_Length,MLP,0,2,8.90384522515764,13,3,16,0.5897435897435898,0.2777777777777778,-0.18156825980064073,0.2,3.0
Seed_Length,XGBoost,0,2,8.90384522515764,13,3,16,0.6666666666666667,0.5435897435897437,0.0,0.4,3.0
Seed_Length,LightGBM,0,2,8.90384522515764,13,3,16,0.717948717948718,0.3416666666666666,-0.18156825980064073,0.4,3.0
Seed_Length,LogReg,0,3,8.915456230176902,13,3,16,0.7948717948717948,0.44285714285714284,0.30261376633440124,0.4,3.0
Seed_Length,RandomForest,0,3,8.915456230176902,13,3,16,0.8717948717948717,0.6666666666666667,0.0,0.4,3.0
Seed_Length,MLP,0,3,8.915456230176902,13,3,16,0.5128205128205128,0.2611111111111111,-0.12403473458920847,0.2,3.0
Seed_Length,XGBoost,0,3,8.915456230176902,13,3,16,0.7435897435897436,0.4797979797979798,0.0,0.4,3.0
Seed_Length,LightGBM,0,3,8.915456230176902,13,3,16,0.6923076923076923,0.41666666666666663,0.1794871794871795,0.4,3.0
Seed_Length,LogReg,0,4,8.90384522515764,13,3,16,0.5897435897435898,0.4907407407407407,0.09245003270420485,0.2,3.0
